product_id,brand_name,review_id,review_title,review_text,author,review_date,review_rating,is_a_buyer,pro_user,review_label,product_title,mrp,price,product_rating,product_rating_count,product_tags,product_url,review_year,sentiment
266374,L'Oreal Paris,1416866,Baddest highlights ever,"Don't buy. Total waste of money and time , don't loose your original hair color in buying this .",Barkha Gulve,25/2/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1419540,amazing,Salon style hair seriously I loved it ❤️,Arzina Khan,26/2/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1419650,amazing product,"Quantity is too small, but still a catch for the price offered .",kashish singh,26/2/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1421718,not-so-good,The pictures are misleading..the colours are no way even closer to those shown in picture that’s on the box..so think twice before u buy,prerna raut,26/2/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1429131,Recommended,"Very good profuct, effective result ordering more.",op op,1/3/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1436015,awsome product,Gives salon look color at home in one application .. loved it..,শ্রাবণী সাহা,3/3/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1436104,awesome,Highlights shade are good for India skin tone.,manali pawar,3/3/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1440220,Awesome,"I got caramel brown for my black hair and the color is just what I was looking for ,it's copper brown.",shaifali roy,4/3/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1448178,amazing,Colour turned out very well on my hair,tashi yangzom,6/3/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1451332,Simply awesome,The colour came out great.. i have ordered the caramel brown shade .. i have medium length straight hair... m so satisfied with the result.. love love love it..,Banhi Biswas,7/3/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
